Movie Name	Storyline
734. Bad Faith	Exposes how Christian Nationalism has become the most powerful anti-democratic force in America. Leaders join forces to defend our country from this march to fascism, but American citizens seem unaware of the threat.
735. Grimsburg	Marvin Flute, who might be the greatest detective ever, has one mystery he still can't crack: his family. He will follow every lead he's got to redeem himself with the ex-wife he never stopped loving.
736. Blank	Follows the love story of two women who have a sixteen year age gap. Family and societal norms keep their romance from flourishing.
737. Darkness of Man	Interpol operative Russell Hatch witnesses the death of an informant when a seemingly routine raid goes wrong. Years later, he finds himself protecting the informant's son from a group of merciless gangs involved in an all-out turf war.
738. Waltzing with Brando	Marlon Brando pulls idealistic Los Angeles architect Bernard Judge from his ordinary life and persuades him to design the world's first ecologically perfect retreat on a tiny, inhospitable Tahitian island.
739. Space Cadet	Rex, a Florida party girl, turns out to be the only hope for the NASA space program after a fluke puts her in training with other candidates who may have better resumés, but don't have her smarts, heart, and moxie.
740. Loveable	Maria juggles with four children and a demanding career while her second husband, Sigmund, travels all the time. One day they get into an ugly argument which led Sigmund to eventually ask her for a divorce.
741. Death Inc.	After the founder's death, his widow defies expectations by taking over the funeral home against the right-hand man's plans, facing competition, internal conflicts and a #metoo case that threatens the company's legacy.
742. Universal Language	An absurdist triptych of seemingly unconnected stories finds a mysterious point of intersection in this tale set somewhere between Winnipeg and Tehran.
743. Turning Point: The Bomb and the Cold War	The series chronicles the creation of the atomic bomb and the spread of nuclear arms over the following decades. It continues past the dissolution of the Soviet Union to Vladimir Putin's ascent and the Russian invasion of Ukraine.
744. Frewaka	Follow a student of nursing palliative care, who is plagued by a trauma from her past that has a disorienting effect on her present, her relationship, her career and her ability to function.
745. Fake	Keddie plays a writer who meets rancher Wenham on a dating app. Thinking he's ideal, she commits to him, only to find he's misrepresented himself. She uncovers his lies.
746. Believer	A struggling writer finds herself at the center of the story she is covering when brutally attacked by a notorious cult leader and mass murderer, a man who exerts an inexplicable control over his followers.
747. Martin Scorsese Presents: The Saints	Explores the lives and sacrifices of historical saints like Joan of Arc, Francis of Assisi, John the Baptist, Thomas Becket, Mary Magdalene, Moses the Black, Sebastian, and Maximillian Kolbe, highlighting their acts.
748. The Fable	Trained as a ruthless assassin since childhood, a mob hitman is ordered to become a normal law-abiding citizen.
749. Fantasmas	It follows the tale of when Julio Torres lost a golden oyster.
750. Macbeth	Macbeth encounters witches who foretell his kingship. Lady Macbeth hatches a plot to seize the throne. Guilt and paranoia consume them as rebellion and Lady Macbeth's spiral lead to their downfall, prophecies' sinister unraveling.
751. Samuel	Emotive depiction of adolescence follows Samuel and his friends, which mixes introspection, humor and nostalgic songs.
752. Everybody Still Hates Chris	Animated sequel series which follows Everybody Hates Chris (2005), focusing on Chris Rock's life as a kid in 1980s Brooklyn, New York.
753. Panopticon	An introverted teen whose father joins a monastery befriends a right-wing activist, navigating sexuality and friendship amid post-Soviet Georgia's clash between religious values and progress.
754. So Long, Marianne	Based on the relationship between Leonard Cohen and Marianne Ihlen, follows two lonely people falling in love while they are still trying to discover who they are.
755. The Children's Train	A seven-year-old boy named Amerigo who in 1946 leaves his impoverished family in Naples and gets on a train to go live with a wealthier family in the north as part of a postwar initiative to rescue children from poverty.
756. Tokyo Swindlers	A team of swindlers gets wind of prime real estate worth 10 billion yen and will stop at nothing to pull off their most ambitious scam yet.
757. Ponyboi	Unfolding over the course of Valentine's Day in New Jersey, a young intersex sex worker must run from the mob after a drug deal goes sideways, forcing him to confront his past.
758. Freedom	Inspired by real events, the story of Bruno Sulak, a true Arsène Lupin of the 20th century.
759. Beneath the Light	Jacob takes a job at an isolated lighthouse, hoping to reconnect with a childhood friend. As strange events unfold, he grapples with reality, anxiety, and fractured memories while finding romance and an unexpected bond with the owner.
760. Agents of Mystery	An investigative team dedicated to special cases that cannot be solved by regular departments, tracking down cases at sites where strange things have happened.
761. Who Wants to Marry an Astronaut?	After fifteen years of relationship, David feels the time has come to take the next step. To do so, he plans an idyllic trip along Route 66 with a wedding in Las Vegas. But when he proposes, his partner rejects him in front of everyone.
762. The American Society of Magical Negroes	A young man is recruited into a secret society of magical black people who dedicate their lives to a cause of utmost importance: making white people's lives easier.
763. Julie Keeps Quiet	Julie is a star player at an elite tennis academy. When her coach falls under investigation and is suddenly suspended, all of the club's players are encouraged to speak up. But Julie decides to keep quiet.
764. Don't Tell Mom the Babysitter's Dead	Tanya's summer plans are canceled when her mom jets off for a last-minute retreat and the elderly babysitter who arrives at her door unexpectedly passes away.
765. The Inheritance	A billionaire on the eve of his 75th birthday, invites his estranged children back home out of fear that tonight someone or something is going to kill him. He puts each of their inheritances on the line, to make sure they'll help.
766. Our Youth	An exemplary student and a troublemaker delinquent are drawn together after the former discovers the latter's secret, leading to an intimate relationship between the two.
767. Handling the Undead	On a hot summer day in Oslo, the dead mysteriously awaken, and three families are thrown into chaos when their deceased loved ones come back to them.
768. Unsinkable	A raw young officer and a handful of desperate men. A thousand miles of enemy infested ocean: and a ship that would not die.
769. The Ties That Bind Us	Exploring the challenges of modern family structures, the film follows a single father, a feminist librarian and a child seeking a place to belong as they navigate love and desires. It questions what it means to be a family.
770. Ghostlight	When a construction worker unexpectedly joins a local theater's production of Romeo and Juliet, the drama onstage starts to mirror his own life.
771. Another End	Two people who have loved each other, and continue to love each other, even after one of them dies.
772. Jo mai mai	Follows the transcendent themes of adolescence such as love, heartbreak, discovery and conflict during summer camps.
773. The Thundermans Return	It centers on the family as they begin a new era of superhero crimefighting. When one save goes wrong, the Thundermans are sent back to Hiddenville.
774. Sunny	Follows Suzie, an American woman living in Japan, and Sunny, a domestic robot made by her husband's company, as they uncover the dark truth of what really happened to Suzie's husband and son, who disappeared in a mysterious plane crash.
775. Winter in Sokcho	A young Korean girl's life takes an unexpected turn when a French artist visits her country, disrupting her routine.
776. Laid	Men who dated the same woman are dying in unusual ways and she must come to terms with her complicated past.
777. Midas Man	On Thursday 9 November 1961, a man named Brian descended the stairs to a cellar in Liverpool and changed the world forever.
778. Toxic	Dreaming of an escape from the bleakness of their hometown, two teens form a unique bond at a local modeling school, where the promise of a better life pushes girls to violate their bodies in increasingly extreme ways.
779. Heretics	Recovered footage documents the horror of a group of teens who break into the abandoned Simmons House. What begins as a thrill-seeking adventure turns into a nightmare as they discover a dark cult intent on sacrificing them one by one.
780. Conan O'Brien Must Go	After years of conversations with listeners from across the world on his podcast Conan O'Brien Needs a Friend (2018), Conan O'Brien sets off on an epic journey to connect with some of his dedicated followers in person.
781. Amaran	The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014.
782. Blood Star	A petty thief driving through the New Mexico desert finds herself the target of a psychopathic small town sheriff who views his badge as a license to prey on vulnerable young women. She must use all of her street-smarts to survive.
783. National Theatre Live: The Motive and the Cue	Explores acting giants Burton and Gielgud staged Hamlet on Broadway in 1964.
784. Last Night on Earth	Faced with impending doom from a planet-killing asteroid, a couple flee to the hills of Tennessee to spend their last days together - but the chaotic breakdown of society disrupts their peaceful plans.
785. Don't Come Home	A mother and her young daughter flee to their family's abandoned mansion but soon find themselves haunted by paranormal incidents that lead to the little girl's mysterious disappearance.
786. Wonderland	In 'Wonderland', people can use an A.I. program to communicate with virtual versions of their comatose or lost loved ones.
787. Peacock	Matthias masters impersonating roles for hire: cultured boyfriend, perfect son, sparring partner. Professionally adept at pretending daily, his true challenge lies in being himself.
788. Escape	Follows the struggles of a North Korean sergeant who is chased by a ruthless major after he defects.
789. The Silent Planet	Follows two inmates in the near future who are sentenced to a lifetime of hard labor on a distant planet. As things unravel, they become increasingly paranoid and start to lose a sense of who they are and their past lives.
790. Faithless	We follow three Dublin sisters, and their Irish/Egyptian dad who, after a tragic incident, has to raise his three daughters alone. His irresponsible brother moves in to 'help' and never leaves. Meet the Amin family the new fighting Irish.
791. On Falling	The story focuses on Aurora, a Portuguese worker in a Scottish warehouse, navigating loneliness and alienation in an algorithm-driven gig economy as she seeks meaning and connection amidst solitude and workplace confines.
792. The Courier	Follows a hustler and his rise to the top of the corruption that surrounded the real estate bubble after the arrival of the euro in Spain.
793. Milestone	A small town embroiled in Civil Rights unrest receives a proposition that could change the world. There's just one caveat. They have to come together and put aside their differences.
794. High School Return of a Gangster	A middle-aged gangster finds himself body-swapped into the body of a bullied teen. Now inhabited by a tough-as-nails gangster, the teen starts to fight back against the power structure at his school and change his miserable existence.
795. A Missed Connection	After finding a spark with a woman on a train platform, a photographer posts a missed connection in the newspaper but never hears from her. Five years later, they meet again while on the way to the same wedding - hers.
796. Dead Mail	An ominous help note finds its way to a 1980s post office, connecting a dead letter investigator to a kidnapped keyboard technician.
797. Above the Knee	Amir has a secret. He's tormented by visions of his leg rotting and longs to cut it off, convinced it doesn't belong to him. So, he devises a plan - one that will drag everyone around him into his relentless quest for a dark redemption.
798. Relative Control	A lawyer's life unravels while managing her stubborn, accident-prone elderly father and defending her biggest corporate case against a hostile takeover.
799. Tales of Herding Gods	An ancient ruin holds an old proverb. Chin Mu, an adopted baby, grows up and leaves his home one night. Guided by blind words, Qin Wu embarks on a dark path, becoming a villain.
800. Masters of the Universe: Revolution	Teela joins forces with He-Man and the other Masters in their quest to save Eternia from the grip of darkness.
801. The Lady Boss Is Done Pretending	Before Eva Washington can reveal her identity as a billionaire heiress, her husband Kevin cheats on her with a mistress. Determined to get revenge, Eva marries Ryan Jones, a man who can match her strength and economic power.
802. Imaginary	A woman returns to her childhood home to discover that the imaginary friend she left behind is very real and unhappy that she abandoned him.
803. Slay	After a booking mistake, four drag queens find themselves performing for a mostly unwelcoming crowd, but when vampires attack, the crowd looks to the queens to save the day.
804. Life After Fighting	A martial arts instructor is confronted with the disappearance of two of his students, leading him into a direct confrontation with a group of international child traffickers.
805. Ick	Science teacher Hank's life changes when he reconnects with his first love and suspects a new student is his daughter, all while facing an alien threat in their town.
806. Hell Hole	Hell Hole hails from the filmmaking family behind Hellbender and centers on an American-led fracking crew that uncovers a living French soldier frozen in time from a Napoleonic campaign, whose body hosts a parasitic monster.
807. My Favourite Cake	Seventy-year-old Mahin, solitary until now, chooses to revive her love life. A chance encounter becomes an unforgettable evening.
808. Andamooka	A city woman's life falls apart just before she turns 30 so she heads to the outback on a quest to spend her 30th with her best friend in tiny opal mining town Andamooka.
809. Bureau 749	A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.
810. The Strange Dark	With her family's safety on the line, Susan must choose who to trust: her husband, who claims he can see the future, or the mysterious strangers at her door.
811. Pluto	Twins Ob-oom and Ai-oon are worlds apart until Ob-oom's wedding, when she tasks Ai-oon with breaking up her affair with May. A tragic turn leaves the newlywed comatose, and Ai-oon must carry out the request, only to find May is blind.
812. Cult Killer	After a renowned private investigator is murdered, his protégé takes on the case. As her investigation unfolds, she is forced into a dangerous alliance with his killer to uncover the town's grisly secrets and bring justice to its victims.
813. Life of Belle	In 2018, Annabelle Starnes went missing. York County police released surveillance footage of the home in hopes of new leads.
814. Sweethearts	"Two college freshmen pull a ""Turkey Dump"" and break up with their high school sweethearts over ""Drunksgiving"" - the one chaotic night before Thanksgiving in their hometown that puts their codependent friendship to the test."
815. Into the Fire: The Lost Daughter	A tenacious mother unravels the complex mystery surrounding the 1989 disappearance of the daughter she had placed for adoption.
816. Dooba Dooba	In-home security cameras watch as an awkward sixteen year old girl terrorizes her well meaning babysitter.
817. This Town	An Extended family and four young people are drawn into the world of ska and two-tone music, which exploded from the grass roots of Coventry and Birmingham in the late '70s and early '80s which united black, white and Asian youths.
818. The Jetty	Follows Det. Ember Manning as she must figure out how a fire at a vacation home is connected to a podcast journalist investigating a missing person's cold case and an illicit love triangle between a man in his 20s and two underage girls.
819. Star Wars Outlaws	Experience the first-ever open world Star Wars game, set between the events of The Empire Strikes Back and Return of the Jedi. Explore distinct planets across the galaxy, both iconic and new. Risk it all as Kay Vess, a scoundrel seeking freedom and the means to start a new life, along with her companion Nix. Fight, steal, and outwit your way through the galaxy's crime syndicates as you join the galaxy's most wanted.
820. Franklin	Explores the story of one of the greatest gambles of Franklin's career. At age 70, Franklin outmaneuvered British spies and French informers while engineering the Franco-American alliance of 1778.
821. Love Island: All Stars	The legendary Islanders return for a second shot at romance. Bombshells disrupt established couples, turning heads and breaking hearts.
822. Lonely Planet	At a retreat in Morocco, a woman meets a young man whose acquaintanceship evolves into an intoxicating, life-altering love affair.
823. The Curse of the Necklace	Family navigates turbulent 1960s dynamics. Mom separates from alcoholic husband. Daughters grapple with changes. Dad's antique gift hides dark force that imperils all.
824. The Holiday Junkie	Follows Andie, who runs a decorating company with her mother. After her mother's passing, Andie navigates her first Christmas alone while trying to find love.
825. A True Gentleman	It follows a gigolo as he falls in love with a young girl.
826. Shook	After a run-in with his estranged father, an aspiring writer learns a secret that will force him to balance family, love, and success while navigating the divide between the exciting city life he wants and his suburban reality.
827. Our Little Secret	Two resentful exes must awkwardly spend Christmas together after they learn that their new partners are siblings.
828. Hey Joe	An American veteran who got involved with a young woman from Naples during World War II returns to the same city in the early 1970s to meet his son, who has no interest in his father.
829. Hierarchy	The top 0.01% of students control law and order at Jusin High School, but a secretive transfer student chips a crack in their indomitable world.
830. Dan Da Dan: First Encounter	Momo Ayase is a school girl who meets her classmate Ken Takakura (named after the actor). Their unlikely friendship will face them against ghosts and aliens in a series of dark and funny adventures.
831. House of Ninjas	The Tawara family, the last shinobi clan. It had abandoned its roots after an incident in the past, but now the family must take on the greatest crisis in Japanese history, one that threatens to shake the nation to its core.
832. The Most Precious of Cargoes	During a war that plagues everything around, a lumberjack's wife finds an abandoned baby girl. This meeting transforms the lives of the couple and those whose destinies intertwine with that of the child.
833. Kangaroo Island	A struggling Hollywood actress returns home to Kangaroo Island, confronting the love triangle that tore her family apart.
834. The Best Christmas Pageant Ever	Nobody is ready for the mayhem and surprises that ensue when six of the worst youngsters disrupt the town's yearly Christmas performance.
835. The Painted	A 1960s suburban family's plans are interrupted when they're called to a deceased relative's estate, where they begin to unravel the secrets that haunt the premises-strange occurrences, archaic rituals, and sinister paintings on the walls.
836. V/H/S/Beyond	Six bloodcurdling tapes unleash horror in a sci-fi inspired hellscape, pushing the boundaries of fear and suspense.
837. Querer	A family is divided when the mother goes to the police to accuse her husband of continuous rape during the 30 years of their perfect marriage.
838. Hounds of War	After a mission goes wrong, only one of a group of mercenaries is left alive to take revenge for his brothers.
839. Bloody Axe Wound	Abbie Bladecut's family business, a video store, has thrived by disposing of teenagers to mimic horror movies. As the first female slasher, she battles gender bias while realizing the harsh realities behind the mass murders.
840. Match Play	When disciplined stuntman Jae Yeon is tasked with training Do Ha, an irritable actor down on his luck, personalities clash as they do not get along. Yet as the two spend more time together, growing feelings complicate their relationship.
841. The Ceremony	Two troubled migrant workers in a Bradford car wash are dragged into an escalating moral crisis as night falls.
842. Deceitful Love	It follows a relationship full of passion, with shadows and secrets, that challenges social conventions, family balances, and the role of motherhood in Mediterranean culture.
843. The Sticky	When maple-syrup farmer Ruth Landry finds her livelihood under attack by greedy competitors who were once her friends, she concocts a scheme to exact revenge and shake up the industry.
844. Until Dawn	Until Dawn is a branching narrative survival horror game in which any choice of action by the player may cause other consequences later in the story. It was rebuilt from the ground up with stunning visuals in Unreal Engine 5.
845. Soundtrack to a Coup d'Etat	Jazz and decolonization are entwined in this historical rollercoaster that rewrites the Cold War episode that led musicians Abbey Lincoln and Max Roach to crash the UN Security Council in protest against the murder of Patrice Lumumba.
846. Furies	A dive into Paris's criminal underworld, where Lyna meets the enigmatic and brutal Furie, the boss of this hazardous environment.
847. Good One	During a weekend backpacking trip in the Catskills, 17-year-old Sam navigates the clash of egos between her father and his oldest friend.
848. Cold Showers	After catching her husband cheating, quiet architect Jayda Wright's life implodes. During one wild night of rebellion, she crosses paths with Max Miller, a controlling billionaire with hidden secrets.
849. No One Will Miss Us	"It tells the story of five ""losers"" who, seeking money and popularity, set up an illegal business at their school."
850. Elyas	A former Special Forces soldier who has become solitary and paranoid since serving Afghanistan and recruited to provide the security for Amina and her daughter Nour.
851. Bushido	Kakunoshin Yanagida was a samurai, forced to leave the Han due to a false accusation. He then lived in poverty with his daughter Kinu.
852. The Master and Margarita	A writer's novel is banned and play canceled. He then conceives a satirical novel where a devil-like character metaphorically revenges those responsible. Knowing it cannot be published, his muse Margarita pushes him to write it anyway.
853. What Jennifer Did	When Jennifer Pan calls 911 to report that her parents have been shot, she becomes the primary focus of a captivating criminal case.
854. Race for Glory: Audi vs. Lancia	A true David vs. Goliath story spotlighting the intense rivalry between Audi and Lancia at the 1983 Rally World Championship. Against all odds, Lancia battles to regain its former glory with a combination of innovation and courage.
855. Quiet on Set: The Dark Side of Kids TV	A docu-series that uncovers the toxic culture behind some of the most iconic children's shows of the late 1990s and early 2000s.
856. Der Spitzname	Amid the chaos of acting dreams, career obstacles, bitcoin trading, overprotective parents, job loss, and mischievous children, a couple's Alpine wedding hangs in the balance.
857. Blue Sun Palace	When tragedy strikes, an unexpected bond forms between two migrants in the Chinese community of Queens. Far from home, their labor-filled lives intertwine as they grieve and search for familial connections.
858. Handsome Guys	Self-proclaimed tough guys 'Jae-pil' and 'Sang-gu' move into their dream European-style house. When unwanted visitors arrive, awakening an evil spirit hitherto sealed in the basement, a dark aura begins to envelop the house.
859. Grand Tour	Edward, civil servant, flees fiancée Molly on their wedding day in Rangoon, 1917. His travels replace panic with melancholy. Molly, set on marriage, amused by his escape, trails him across Asia.
860. Hysteria!	Follows a struggling high school heavy metal band of outcasts who use the town's sudden interest in the occult to start a reputation as a Satanic metal band, until a strange series of events triggers a witch hunt that leads back to them.
861. Fairy Tail: 100 Years Quest	Fairy Tail: 100 Years Quest is a sequel to Hiro Mashima's Fairy Tail series, focusing on Natsu Dragneel and his team from the wizard guild as they aim to complete an unfinished, century-old mission.
862. The Elusive Samurai	After a massacre, Tokiyuki flees with loyal retainers including Suwa Yorishige, who predicts Tokiyuki will rule Japan. Their priority is escaping enemy territory.
863. The Witch and the Beast	A cursed girl and a mysterious man join forces to hunt down an evil witch.
864. Sugarcane	An investigation into abuse and missing children at an Indian residential school sparks a reckoning on the nearby Sugarcane Reserve.
865. Justice League: Crisis on Infinite Earths - Part Two	The Anti-Monitor (the Monitor's evil counterpart) is released into the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse to fight back.
866. No Mercy	A soldier returns home from war to find his girlfriend missing, family broken, and neighborhood overrun by crime. Though reluctant, he becomes a hitman to protect loved ones.
867. Jack and Ava	Two lovers, an orphan and a victim, find themselves in the most dangerous 72 hours of their lives when a heist goes wrong.
868. Robin and the Hoods	For the tenacious 11-year-old Robin and her loyal band of friends 'The Hoods', the patch of overgrown scrubland at the end of their cul-de-sac is a magical kingdom.
869. Curious Caterer: Foiled Plans	Goldy Berry's Medieval feast at Hyde Castle gets interrupted by a murder. She teams up with Detective Shultz to solve the mystery before the murderer strikes again.
870. Music by John Williams	Follows the life of legendary composer John Williams.
871. Lollipop	Molly, a young woman released from prison, struggles to regain custody of her children. When she bumps into her childhood friend Amina the two women soon realize their only chance is to join forces and take destiny into their own hands.
872. Shadow Land	Haunted by relentless nightmares foretelling his untimely demise, Former President Robert Wainwright summons his past psychiatrist to his upstate residence who discovers the threat may be more real than imagined.
873. Shaitaan	A family's getaway turns terrifying when an intruder possesses the teen daughter's body, putting her at the mercy of his increasingly sinister commands.
874. Bookworm	11-year-old Mildred's world is turned upside down when her estranged father, the washed-up magician Strawn Wise, comes to look after her and agrees to take her camping to find a mythological beast known as the Canterbury Panther.
875. The Loyal Pin	The story of the prim and proper Lady Pin and the naughty but charmingly lovely Princess Anilaphat. The two are brought together by fate and have since grown up together.
876. Worst Ex Ever	Shocking tales of betrayal, violence, and deceit through testimonials, bodycam footage, and reenactments. Exposes the disturbing realities of monstrous past relationships, tapping into the universal fear of not truly knowing one's partner.
877. Night Shift	A young nurse with a past of family violence starts working the night shift at a small hospital, where during the night a ghost nurse materializes.
878. Ninja Kamui	Former ninja Joe Higan is ambushed by assassins who seek bloody revenge on him and his family for their betrayal, after escaping his clan and fleeing into rural America.
879. Piece by Piece	A vibrant journey through the life of Pharrell Williams, told through the lens of Lego animation.
880. Zenshu	Natsuko Hirose embarks on animation career. Her debut anime becomes a smash hit, sparking social phenomenon and earning her recognition as a brilliant emerging director.
881. The Roundup: Punishment	Detective Ma Seok-do joins the Cyber Investigation Team to nab Baek Chang-ki, a former mercenary and the head of an online gambling organization.
882. Xeque Mate	A dangerous game, full of traps. A dispute of power, money and desire. On one side of the board, delegate Giovanna Torres, on the other, the wife of a businessman, Maya Manoela. In this game, only one will fall. Who will give Checkmate?
883. Scurry	Two strangers who find themselves trapped underground when the city is attacked by a monstrous threat. Badly injured with limited resources they must navigate a treacherous, narrowing tunnel in hopes of finding an exit.
884. The Astronaut Lovers	Pedro returns to Argentina to spend the holidays with friends and family. He meets up with Maxi, a childhood friend who attracts him. Both engage in a playful game of flirtation and seduction.
885. The Corpse Washer	Lela, a mortician, grapples with uncovering the truth behind her mother's mysterious deaths while haunted by spirits and burdened by the weight of untold secrets.
886. Striking Rescue	A veteran Muay Thai expert goes on a take-no-prisoners mission of revenge after his wife and daughter are brutally murdered by mysterious forces.
887. The Coldest Case: The Past Has A Long Memory	Someone is committing random murders across Chicago-and making sure detectives Billy Harney (Aaron Paul) and Patti Harney (Krysten Ritter) are first on the crime scene. What connects the victims, and why is the killer leaving clues behind with each body? Billy and Patti are scrambling to stop the next killing when their father, Chief of Detectives Dan Harney (Beau Bridges), is kidnapped. But in their race to track him down, they uncover pieces of his past that simply can't be true. Could their own flesh and blood be covering up a dark secret?
888. Hitpig	A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.
889. To Live Through Death	After a tragic loss of his family, Chen, an ex criminal changes his face with cosmetic surgery and becomes a cook in a restaurant. Fifteen years later a woman asks him for help against human traffic gangs.
890. Bad Genius	A group of seniors of an entrepreneurial high school team up to take down a rigged college admissions system.
891. Maid for My Nemesis	Class president Emma is keeping a secret: She's a poor girl at her wealthy school. When her rival Lucas Bennett gets her fired from the job that's paying her father's medical bills, he makes up for it by hiring her to be his personal maid.
892. Mom	Struggling with postnatal depression and feeling misunderstood by her husband, Meredith begins to experience terrifying visions foreshadowing an ultimate tragedy.
893. Behind the Lines	Follows a passionate historian who travels the world to find and preserve letters written during times of war.
894. The Mouse Trap	It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive.
895. 23.5	"Ongsa falls in love at first sight with the more popular Sun. However, she decides to approach her under the pseudonym ""Earth"". Will Ongsa reveal herself to Sun?"
896. No Gain No Love	Follows a woman who embarks on a journey of self-discovery and personal growth, navigating the complexities of life and relationships while pursuing her dreams.
897. Mononoke the Movie: The Phantom in the Rain	A deadly and mysterious master of the occult travels across feudal Japan, seeking malevolent spirits called Mononoke to slay. He must uncover their Form, Truth, and Reason to wield the mighty Exorcism Sword against them.
898. Here Now	Sophie a young Californian traveling in Italy on her vacation with her sister. She meets Giulio and his group of friends with whom she spends the most terrifying night of her life.
899. Paradox Effect	An ex junkie witnesses a murder. She is forced to cooperate with the killer to save her daughter's life. She must fight time, the police and criminal underworld to save the only person who means something to her.
900. Customs Frontline	Hong Kong customs officers discover illegal weapons on a cargo ship and trace them back to an international conflict. Elite agents go undercover, uncovering a transnational operation with roots closer to home.
901. Lover Stalker Killer	In this twisting documentary, a mechanic tries online dating for the first time and meets a woman who takes romantic obsession to a deadly extreme.
902. Mehmed: Fetihler Sultani	When Ottoman Sultan, Fatih Sultan Mehmet, ascends the throne, he must defeat many enemies inside and outside the palace in order to conquer Istanbul, his biggest dream.
903. The Second Best Hospital in the Galaxy	Sleech and Klak, two brilliant female alien doctors who specialize in rare sci-fi illnesses.
904. Silent Love	Just love. In this complicated and muddy age, this is the most sad love story of this winter, gently holding up a transparent pure love.
905. Familiar Touch	An octogenarian woman transitions to life in assisted living as she contends with her conflicting relationship to herself and her caregivers amidst her shifting memory, age identity, and desires.
906. Freedom at Midnight	Is the electrifying story of India's struggle for independence. Based on the bestselling book of the same name, it recounts the partition of India and Pakistan, and the religious and socio-political dynamics of the era.
907. Escape from Germany	1939, Hitler's army was closing borders, and eighty-five American missionaries were in Germany serving their church. The escape of these missionaries from Nazi Germany is one of the most dramatic events to occur in modern church history.
908. Tying the Knot with an Amagami Sister	Uryuu Kamihate aims to enter medical school but finds his new foster home is a shrine where he must marry one of the three Amagami sisters and take over the temple.
909. American Conspiracy: The Octopus Murders	"Follows journalist Danny Casolaro's mysterious death while probing an alleged conspiracy called ""The Octopus"" linking spy software theft, unsolved murders and major 20th-century scandals."
910. Hades II	Battle beyond the Underworld using dark sorcery to take on the Titan of Time in this bewitching sequel to the award-winning rogue-like dungeon crawler.
911. Austin	When author Julian's offensive post goes viral, his career seems over until his neuro divergent son Austin suddenly arrives. Embracing Austin may be Julian's path to redemption if he and wife Ingrid can move past his mistakes.
912. Maxima	Máxima Zorreguieta finds herself in the spotlight when she appears at the Dutch crown prince's side, but by the moment Willem-Alexander asks her to marry him, the past catches up with her.
913. Wild Wild Punjab	Khanna has had a breakup. He's upset, but he has friends like Arora, Jain and Honey paa'ji who encourage him to face this breakup head-on and move on. They embark on a trip across Punjab to help Khanna find the closure he desires.
914. Cruise Ship Murder	A man's secret past comes to light after his wife mysteriously falls overboard on a cruise ship.
915. City of God: The Fight Rages On	Twenty years after City of God, Buscapé recounts how conflicts between police, traffickers, and militias impacted the community.
916. A Desert	A photographer's road trip takes a dark turn when he befriends a reckless couple, plunging him into a nightmarish neo-noir spiral of unpredictable horror.
917. He Sees You When You're Sleeping	Chester returns to his home after witnessing his parents' murders 17 years ago by a killer dressed as Santa. A new Santa killer begins killing his relatives. Chester questions if the killer returned or if a more terrifying truth exists.
918. Metoda Markovic: Hojer	The story of a man who became a criminal legend thanks to his method. The series based on the cases of criminologist Jirí Markovic focuses primarily on his exceptional relationship with serial killer Ladislav Hojer.
919. The Price of Money: A Largo Winch Adventure	It follows Largo Winch, who is devastated by the kidnapping of his son. He realizes that if he finds those responsible for his bankruptcy, maybe he'll see his son again.
920. The Day Everything Changed	Mario, used to be a man who had planned a happy future with his wife; until one night, a robbery ends up taking her life. From that moment on, his only objective is now to avenge on those who took away his happiness.
921. Jentry Chau vs. The Underworld	A Chinese-American teen living in a small Texas town finds out a demon king is hunting her for the supernatural powers she's been working her whole life to repress.
922. Laws of Man	At the dawn of the Cold War, two U.S. marshals pursue a wanted murderer in the deserts of Nevada.
923. Husband, Father, Killer: The Alyssa Pladl Story	Alyssa has a relationship with abusive Steven as a teen, has his child but gives it up for adoption. Years later, their daughter seeks them out, and Steven manipulates her into an affair, neglecting his family.
924. Chasing in the Wild	Sevi is a basketball captain from a humble family. Elyse is a spoiled cheerleader. Though opposites, the two fall for each other. But can their young love survive the harsh realities that may come their way?
925. Shekhar Home	Set against the backdrop of a sleepy town called Lonpur in Bengal in the early 1990s. Shekhar meets Jayvrat Sahni, who becomes his housemate due to a twist of fate. The duo end up solving mysteries across East India.
926. Spilt Milk	11 year-old boy dreams of becoming a great detective like his TV hero Kojak. He sets up a private investigation with his best friend, but the disappearance of his older brother sets them off down a dark path.
927. The Cage	Dreaming of going pro, a young fighter struggles to be seen until an unexpected combat lands him a shot at the big time and a brutal rival in the cage.
928. Drie dagen vis	This black-and-white drama/comedy explores the strained relationship between Gerrie and his son Dick during their annual three-day reunion in Rotterdam, with the looming threat that this might be Gerrie's last visit.
929. Ataturk 1881-1919	The early life story of Veteran Mustafa Kemal Atatürk, the founding father of the Republic of Turkey and its first President, supreme commander of Turkish War of Independence, and revolutionary statesman.
